---------------------------------------------------------------------------------------------

STARTING DOWNLOAD OF MERCATOR FORECAST
---------------------------------------------------------------------------------------------
exit
exit
exit
exit
exit
[Main]  
user=lglasner
pwd=kpt6yrnsRvVm
motu=https://nrt.cmems-du.eu/motu-web/Motu  
service_id=GLOBAL_ANALYSIS_FORECAST_PHY_001_024-TDS
product_id=global-analysis-forecast-phy-001-024
date_min=2020-06-01
date_max=2020-06-31
latitude_min=-40  
latitude_max=-15  
longitude_min=-80  
longitude_max=-70    
depth_min=0.49402499198913574
depth_max=5727.9169921875
variable=thetao,uo,vo,zos,so
out_dir=. 
out_name=2020-06.nc   
log_level=20 
2022-11-07 16:48:22.056 [ INFO] Asynchronous mode set
2022-11-07 16:48:22.057 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:48:27.092 [ INFO] Requesting file to download (this can take a while)...
2022-11-07 16:48:34.898 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:48:49.344 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:48:59.355 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:49:11.832 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:49:21.843 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:49:35.283 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:49:45.293 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:49:59.753 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:50:09.764 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:50:23.202 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:50:33.212 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:50:47.879 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:50:57.889 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:51:12.114 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:51:22.118 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:51:40.644 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:51:50.654 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:52:10.584 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:52:20.595 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:52:38.738 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:52:48.748 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:53:06.898 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:53:16.909 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:53:33.134 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:53:43.145 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:54:01.940 [ INFO] The product is ready for download
2022-11-07 16:54:01.941 [ INFO] Downloading file (this can take a while)...
2022-11-07 16:54:04.015 [ INFO] File type: application/x-netcdf
2022-11-07 16:54:04.016 [ INFO] File size: 453.9 MB (453884744 B)
2022-11-07 16:54:04.016 [ INFO] Downloading file /storage/lucas/FORECAST/MERCATOR/FULLPHYSICS/HINDCAST/2020-06.nc
2022-11-07 16:55:11.240 [ INFO] - 453.9 MB (51.5%)
2022-11-07 16:55:12.638 [ INFO] - 453.9 MB (52.6%)
2022-11-07 16:55:13.988 [ INFO] - 453.9 MB (53.6%)
2022-11-07 16:55:15.361 [ INFO] - 453.9 MB (54.6%)
2022-11-07 16:55:16.696 [ INFO] - 453.9 MB (55.6%)
2022-11-07 16:55:18.034 [ INFO] - 453.9 MB (56.6%)
2022-11-07 16:55:19.384 [ INFO] - 453.9 MB (57.6%)
2022-11-07 16:55:20.725 [ INFO] - 453.9 MB (58.6%)
2022-11-07 16:55:22.065 [ INFO] - 453.9 MB (59.6%)
2022-11-07 16:55:23.397 [ INFO] - 453.9 MB (60.6%)
2022-11-07 16:55:24.716 [ INFO] - 453.9 MB (61.7%)
2022-11-07 16:55:26.088 [ INFO] - 453.9 MB (62.7%)
2022-11-07 16:55:27.442 [ INFO] - 453.9 MB (63.7%)
2022-11-07 16:55:28.767 [ INFO] - 453.9 MB (64.7%)
2022-11-07 16:55:30.118 [ INFO] - 453.9 MB (65.7%)
2022-11-07 16:55:31.441 [ INFO] - 453.9 MB (66.7%)
2022-11-07 16:55:32.749 [ INFO] - 453.9 MB (67.7%)
2022-11-07 16:55:34.039 [ INFO] - 453.9 MB (68.7%)
2022-11-07 16:55:35.394 [ INFO] - 453.9 MB (69.7%)
2022-11-07 16:55:36.743 [ INFO] - 453.9 MB (70.8%)
2022-11-07 16:55:37.621 [ INFO] - 453.9 MB (71.8%)
2022-11-07 16:55:38.929 [ INFO] - 453.9 MB (72.8%)
2022-11-07 16:55:40.245 [ INFO] - 453.9 MB (73.8%)
2022-11-07 16:55:41.591 [ INFO] - 453.9 MB (74.8%)
2022-11-07 16:55:42.936 [ INFO] - 453.9 MB (75.8%)
2022-11-07 16:55:44.244 [ INFO] - 453.9 MB (76.8%)
2022-11-07 16:55:45.554 [ INFO] - 453.9 MB (77.8%)
2022-11-07 16:55:46.858 [ INFO] - 453.9 MB (78.8%)
2022-11-07 16:55:48.184 [ INFO] - 453.9 MB (79.8%)
2022-11-07 16:55:49.492 [ INFO] - 453.9 MB (80.9%)
2022-11-07 16:55:50.871 [ INFO] - 453.9 MB (81.9%)
2022-11-07 16:55:52.206 [ INFO] - 453.9 MB (82.9%)
2022-11-07 16:55:53.535 [ INFO] - 453.9 MB (83.9%)
2022-11-07 16:55:54.881 [ INFO] - 453.9 MB (84.9%)
2022-11-07 16:55:56.266 [ INFO] - 453.9 MB (85.9%)
2022-11-07 16:55:57.609 [ INFO] - 453.9 MB (86.9%)
2022-11-07 16:55:58.885 [ INFO] - 453.9 MB (87.9%)
2022-11-07 16:56:00.107 [ INFO] - 453.9 MB (88.9%)
2022-11-07 16:56:01.275 [ INFO] - 453.9 MB (90.0%)
2022-11-07 16:56:02.388 [ INFO] - 453.9 MB (91.0%)
2022-11-07 16:56:03.587 [ INFO] - 453.9 MB (92.0%)
2022-11-07 16:56:04.755 [ INFO] - 453.9 MB (93.0%)
2022-11-07 16:56:05.544 [ INFO] - 453.9 MB (94.0%)
2022-11-07 16:56:06.663 [ INFO] - 453.9 MB (95.0%)
2022-11-07 16:56:07.805 [ INFO] - 453.9 MB (96.0%)
2022-11-07 16:56:08.929 [ INFO] - 453.9 MB (97.0%)
2022-11-07 16:56:10.097 [ INFO] - 453.9 MB (98.0%)
2022-11-07 16:56:11.140 [ INFO] - 453.9 MB (99.1%)
2022-11-07 16:56:12.175 [ INFO] - 453.9 MB (100.0%)
2022-11-07 16:56:12.176 [ INFO] Processing  time : 0:05:41.959815
2022-11-07 16:56:12.176 [ INFO] Downloading time : 0:02:08.159973
2022-11-07 16:56:12.176 [ INFO] Total time       : 0:07:50.119788
2022-11-07 16:56:12.176 [ INFO] Download rate    : 3.5 MB/s
2022-11-07 16:56:12.177 [ INFO] Done
[Main]  
user=lglasner
pwd=kpt6yrnsRvVm
motu=https://nrt.cmems-du.eu/motu-web/Motu  
service_id=GLOBAL_ANALYSIS_FORECAST_PHY_001_024-TDS
product_id=global-analysis-forecast-phy-001-024
date_min=2020-07-01
date_max=2020-07-31
latitude_min=-40  
latitude_max=-15  
longitude_min=-80  
longitude_max=-70    
depth_min=0.49402499198913574
depth_max=5727.9169921875
variable=thetao,uo,vo,zos,so
out_dir=. 
out_name=2020-07.nc   
log_level=20 
2022-11-07 16:56:12.429 [ INFO] Asynchronous mode set
2022-11-07 16:56:12.430 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:56:20.910 [ INFO] Requesting file to download (this can take a while)...
2022-11-07 16:56:30.286 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:56:48.821 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:56:58.832 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:57:12.572 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:57:22.580 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:57:37.438 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:57:47.448 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:58:06.249 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:58:16.260 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:58:34.309 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:58:44.320 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:59:04.303 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:59:14.312 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 16:59:33.813 [ INFO] Product is not yet available (request in progress)
2022-11-07 16:59:43.820 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 17:00:02.989 [ INFO] Product is not yet available (request in progress)
2022-11-07 17:00:12.995 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 17:00:28.163 [ INFO] Product is not yet available (request in progress)
2022-11-07 17:00:38.172 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 17:00:54.497 [ INFO] Product is not yet available (request in progress)
2022-11-07 17:01:04.507 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 17:01:21.488 [ INFO] Product is not yet available (request in progress)
2022-11-07 17:01:31.496 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 17:01:44.517 [ INFO] Product is not yet available (request in progress)
2022-11-07 17:01:54.523 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 17:02:07.948 [ INFO] Product is not yet available (request in progress)
2022-11-07 17:02:17.956 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 17:02:33.515 [ INFO] Product is not yet available (request in progress)
2022-11-07 17:02:43.524 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 17:02:58.333 [ INFO] Product is not yet available (request in progress)
2022-11-07 17:03:08.343 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 17:03:23.457 [ INFO] Product is not yet available (request in progress)
2022-11-07 17:03:33.463 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 17:03:49.885 [ INFO] Product is not yet available (request in progress)
2022-11-07 17:03:59.896 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 17:04:15.020 [ INFO] Product is not yet available (request in progress)
2022-11-07 17:04:25.028 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 17:04:42.802 [ INFO] Product is not yet available (request in progress)
2022-11-07 17:04:52.812 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 17:05:12.036 [ INFO] Product is not yet available (request in progress)
2022-11-07 17:05:22.043 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 17:05:40.620 [ INFO] Product is not yet available (request in progress)
2022-11-07 17:05:50.628 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 17:06:08.758 [ INFO] Product is not yet available (request in progress)
2022-11-07 17:06:18.767 [ INFO] Authenticating user lglasner for service https://nrt.cmems-du.eu/motu-web/Motu
2022-11-07 17:06:35.146 [ INFO] The product is ready for download
2022-11-07 17:06:35.146 [ INFO] Downloading file (this can take a while)...
2022-11-07 17:06:37.102 [ INFO] File type: application/x-netcdf
2022-11-07 17:06:37.102 [ INFO] File size: 453.9 MB (453884744 B)
2022-11-07 17:06:37.102 [ INFO] Downloading file /storage/lucas/FORECAST/MERCATOR/FULLPHYSICS/HINDCAST/2020-07.nc
2022-11-07 17:06:49.633 [ INFO] - 453.9 MB (1.0%)
2022-11-07 17:06:52.329 [ INFO] - 453.9 MB (2.0%)
2022-11-07 17:06:53.937 [ INFO] - 453.9 MB (3.0%)
2022-11-07 17:06:55.451 [ INFO] - 453.9 MB (4.0%)
2022-11-07 17:06:56.466 [ INFO] - 453.9 MB (5.1%)
2022-11-07 17:06:57.425 [ INFO] - 453.9 MB (6.1%)
2022-11-07 17:06:58.385 [ INFO] - 453.9 MB (7.1%)
2022-11-07 17:06:59.406 [ INFO] - 453.9 MB (8.1%)
2022-11-07 17:07:00.439 [ INFO] - 453.9 MB (9.1%)
2022-11-07 17:07:01.375 [ INFO] - 453.9 MB (10.1%)
2022-11-07 17:07:02.411 [ INFO] - 453.9 MB (11.1%)
2022-11-07 17:07:03.469 [ INFO] - 453.9 MB (12.1%)
2022-11-07 17:07:04.513 [ INFO] - 453.9 MB (13.1%)
2022-11-07 17:07:05.391 [ INFO] - 453.9 MB (14.2%)
2022-11-07 17:07:06.387 [ INFO] - 453.9 MB (15.2%)
2022-11-07 17:07:07.421 [ INFO] - 453.9 MB (16.2%)
2022-11-07 17:07:08.384 [ INFO] - 453.9 MB (17.2%)
2022-11-07 17:07:09.427 [ INFO] - 453.9 MB (18.2%)
2022-11-07 17:07:10.539 [ INFO] - 453.9 MB (19.2%)
2022-11-07 17:07:11.722 [ INFO] - 453.9 MB (20.2%)
2022-11-07 17:07:12.797 [ INFO] - 453.9 MB (21.2%)
2022-11-07 17:07:13.956 [ INFO] - 453.9 MB (22.2%)
2022-11-07 17:07:14.885 [ INFO] - 453.9 MB (23.2%)
2022-11-07 17:07:16.076 [ INFO] - 453.9 MB (24.3%)
2022-11-07 17:07:17.272 [ INFO] - 453.9 MB (25.3%)
2022-11-07 17:07:18.490 [ INFO] - 453.9 MB (26.3%)
2022-11-07 17:07:19.693 [ INFO] - 453.9 MB (27.3%)
2022-11-07 17:07:20.939 [ INFO] - 453.9 MB (28.3%)
2022-11-07 17:07:22.170 [ INFO] - 453.9 MB (29.3%)
2022-11-07 17:07:23.414 [ INFO] - 453.9 MB (30.3%)
2022-11-07 17:07:24.681 [ INFO] - 453.9 MB (31.3%)
2022-11-07 17:07:25.770 [ INFO] - 453.9 MB (32.3%)
2022-11-07 17:07:27.223 [ INFO] - 453.9 MB (33.4%)
2022-11-07 17:07:28.547 [ INFO] - 453.9 MB (34.4%)
2022-11-07 17:07:29.835 [ INFO] - 453.9 MB (35.4%)
2022-11-07 17:07:30.933 [ INFO] - 453.9 MB (36.4%)
2022-11-07 17:07:32.056 [ INFO] - 453.9 MB (37.4%)
2022-11-07 17:07:32.822 [ INFO] - 453.9 MB (38.4%)
2022-11-07 17:07:33.821 [ INFO] - 453.9 MB (39.4%)
2022-11-07 17:07:34.873 [ INFO] - 453.9 MB (40.4%)
2022-11-07 17:07:35.962 [ INFO] - 453.9 MB (41.4%)
2022-11-07 17:07:37.058 [ INFO] - 453.9 MB (42.5%)
2022-11-07 17:07:38.135 [ INFO] - 453.9 MB (43.5%)
2022-11-07 17:07:39.200 [ INFO] - 453.9 MB (44.5%)
2022-11-07 17:07:40.303 [ INFO] - 453.9 MB (45.5%)
2022-11-07 17:07:41.163 [ INFO] - 453.9 MB (46.5%)
2022-11-07 17:07:42.299 [ INFO] - 453.9 MB (47.5%)
2022-11-07 17:07:43.431 [ INFO] - 453.9 MB (48.5%)
2022-11-07 17:07:44.547 [ INFO] - 453.9 MB (49.5%)
2022-11-07 17:07:45.654 [ INFO] - 453.9 MB (50.5%)
2022-11-07 17:07:46.651 [ INFO] - 453.9 MB (51.5%)
2022-11-07 17:07:47.756 [ INFO] - 453.9 MB (52.6%)
2022-11-07 17:07:48.958 [ INFO] - 453.9 MB (53.6%)
2022-11-07 17:07:50.309 [ INFO] - 453.9 MB (54.6%)
2022-11-07 17:07:51.549 [ INFO] - 453.9 MB (55.6%)
2022-11-07 17:07:52.861 [ INFO] - 453.9 MB (56.6%)
2022-11-07 17:07:54.175 [ INFO] - 453.9 MB (57.6%)
2022-11-07 17:07:55.396 [ INFO] - 453.9 MB (58.6%)
2022-11-07 17:07:56.329 [ INFO] - 453.9 MB (59.6%)
2022-11-07 17:07:57.574 [ INFO] - 453.9 MB (60.6%)
2022-11-07 17:07:58.734 [ INFO] - 453.9 MB (61.7%)
2022-11-07 17:07:59.839 [ INFO] - 453.9 MB (62.7%)
2022-11-07 17:08:00.962 [ INFO] - 453.9 MB (63.7%)
2022-11-07 17:08:02.092 [ INFO] - 453.9 MB (64.7%)
2022-11-07 17:08:03.164 [ INFO] - 453.9 MB (65.7%)
2022-11-07 17:08:04.319 [ INFO] - 453.9 MB (66.7%)
2022-11-07 17:08:05.469 [ INFO] - 453.9 MB (67.7%)
2022-11-07 17:08:06.625 [ INFO] - 453.9 MB (68.7%)
2022-11-07 17:08:07.783 [ INFO] - 453.9 MB (69.7%)
2022-11-07 17:08:08.987 [ INFO] - 453.9 MB (70.8%)
2022-11-07 17:08:10.186 [ INFO] - 453.9 MB (71.8%)
2022-11-07 17:08:11.016 [ INFO] - 453.9 MB (72.8%)
2022-11-07 17:08:12.088 [ INFO] - 453.9 MB (73.8%)
2022-11-07 17:08:13.028 [ INFO] - 453.9 MB (74.8%)
2022-11-07 17:08:13.925 [ INFO] - 453.9 MB (75.8%)
2022-11-07 17:08:14.821 [ INFO] - 453.9 MB (76.8%)
2022-11-07 17:08:15.719 [ INFO] - 453.9 MB (77.8%)
2022-11-07 17:08:16.620 [ INFO] - 453.9 MB (78.8%)
2022-11-07 17:08:17.330 [ INFO] - 453.9 MB (79.8%)
2022-11-07 17:08:18.286 [ INFO] - 453.9 MB (80.9%)
2022-11-07 17:08:19.277 [ INFO] - 453.9 MB (81.9%)
2022-11-07 17:08:20.222 [ INFO] - 453.9 MB (82.9%)
2022-11-07 17:08:21.089 [ INFO] - 453.9 MB (83.9%)
2022-11-07 17:08:22.011 [ INFO] - 453.9 MB (84.9%)
2022-11-07 17:08:22.933 [ INFO] - 453.9 MB (85.9%)
2022-11-07 17:08:23.860 [ INFO] - 453.9 MB (86.9%)
2022-11-07 17:08:24.581 [ INFO] - 453.9 MB (87.9%)
2022-11-07 17:08:25.516 [ INFO] - 453.9 MB (88.9%)
2022-11-07 17:08:26.462 [ INFO] - 453.9 MB (90.0%)
2022-11-07 17:08:27.372 [ INFO] - 453.9 MB (91.0%)
2022-11-07 17:08:28.345 [ INFO] - 453.9 MB (92.0%)
2022-11-07 17:08:29.414 [ INFO] - 453.9 MB (93.0%)
2022-11-07 17:08:30.546 [ INFO] - 453.9 MB (94.0%)
2022-11-07 17:08:31.371 [ INFO] - 453.9 MB (95.0%)
2022-11-07 17:08:32.483 [ INFO] - 453.9 MB (96.0%)
2022-11-07 17:08:33.705 [ INFO] - 453.9 MB (97.0%)
2022-11-07 17:08:35.040 [ INFO] - 453.9 MB (98.0%)
2022-11-07 17:08:36.356 [ INFO] - 453.9 MB (99.1%)
2022-11-07 17:08:37.627 [ INFO] - 453.9 MB (100.0%)
2022-11-07 17:08:37.627 [ INFO] Processing  time : 0:10:24.673423
2022-11-07 17:08:37.628 [ INFO] Downloading time : 0:02:00.525026
2022-11-07 17:08:37.628 [ INFO] Total time       : 0:12:25.198449
2022-11-07 17:08:37.628 [ INFO] Download rate    : 3.7 MB/s
2022-11-07 17:08:37.628 [ INFO] Done
[Main]  
user=lglasner
pwd=kpt6yrnsRvVm
motu=https://nrt.cmems-du.eu/motu-web/Motu  
service_id=GLOBAL_ANALYSIS_FORECAST_PHY_001_024-TDS
product_id=global-analysis-forecast-phy-001-024
date_min=2020-08-01
date_max=2020-08-31
latitude_min=-40  
latitude_max=-15  
longitude_min=-80  
longitude_max=-70    
depth_min=0.49402499198913574
depth_max=5727.9169921875
variable=thetao,uo,vo,zos,so
